"","States","year","category","count","type"
"501","Maryland","2020","Total.admissions",5057,"Admissions"
"502","Maryland","2020","Total.violation.admissions",1347,"Admissions"
"503","Maine","2020","Total.admissions",635,"Admissions"
"504","Maine","2020","Total.violation.admissions",288,"Admissions"
"505","Missouri","2020","Total.admissions",12293,"Admissions"
"506","Missouri","2020","Total.violation.admissions",10610,"Admissions"
"507","Mississippi","2020","Total.admissions",6246,"Admissions"
"508","Mississippi","2020","Total.violation.admissions",3025,"Admissions"
"509","Montana","2020","Total.admissions",1092,"Admissions"
"510","Montana","2020","Total.violation.admissions",483,"Admissions"
"511","North Carolina","2020","Total.admissions",16995,"Admissions"
"512","North Carolina","2020","Total.violation.admissions",10407,"Admissions"
"513","North Dakota","2020","Total.admissions",936,"Admissions"
"514","North Dakota","2020","Total.violation.admissions",389,"Admissions"
"515","New Hampshire","2020","Total.admissions",907,"Admissions"
"516","New Hampshire","2020","Total.violation.admissions",612,"Admissions"
"517","New Jersey","2020","Total.admissions",3972,"Admissions"
"518","New Jersey","2020","Total.violation.admissions",405,"Admissions"
"519","Nevada","2020","Total.admissions",4372,"Admissions"
"520","Nevada","2020","Total.violation.admissions",2100,"Admissions"
"521","Oklahoma","2020","Total.admissions",6098,"Admissions"
"522","Oklahoma","2020","Total.violation.admissions",1100,"Admissions"
"523","Oregon","2020","Total.admissions",6006,"Admissions"
"524","Oregon","2020","Total.violation.admissions",2333,"Admissions"
"525","Pennsylvania","2020","Total.admissions",10224,"Admissions"
"526","Pennsylvania","2020","Total.violation.admissions",5070,"Admissions"
"527","Rhode Island","2020","Total.admissions",1826,"Admissions"
"528","Rhode Island","2020","Total.violation.admissions",384,"Admissions"
"529","South Carolina","2020","Total.admissions",4156,"Admissions"
"530","South Carolina","2020","Total.violation.admissions",852,"Admissions"
"531","South Dakota","2020","Total.admissions",3323,"Admissions"
"532","South Dakota","2020","Total.violation.admissions",2380,"Admissions"
"533","Texas","2020","Total.admissions",37286,"Admissions"
"534","Texas","2020","Total.violation.admissions",15667,"Admissions"
"535","Utah","2020","Total.admissions",2945,"Admissions"
"536","Utah","2020","Total.violation.admissions",2486,"Admissions"
"537","Vermont","2020","Total.admissions",6406,"Admissions"
"538","Vermont","2020","Total.violation.admissions",734,"Admissions"
"539","Washington","2020","Total.admissions",4834,"Admissions"
"540","Washington","2020","Total.violation.admissions",2120,"Admissions"
"541","Wisconsin","2020","Total.admissions",5209,"Admissions"
"542","Wisconsin","2020","Total.violation.admissions",3771,"Admissions"
"543","West Virginia","2020","Total.admissions",3473,"Admissions"
"544","West Virginia","2020","Total.violation.admissions",1570,"Admissions"
"545","Wyoming","2020","Total.admissions",878,"Admissions"
"546","Wyoming","2020","Total.violation.admissions",489,"Admissions"
