"","States","pct_18_19","States","pct_19_20"
"1","Delaware",-0.173584905660377,"Rhode Island",-0.438202247191011
"2","Missouri",-0.170483460559796,"New Hampshire",-0.402777777777778
"3","Oklahoma",-0.168067226890756,"North Dakota",-0.33500837520938
"4","Florida",-0.160103877279865,"North Carolina",-0.309094511591044
"5","Nevada",-0.105473965287049,"California",-0.303811767743601
