"","year","total.population","total.population.pct","total.population.change","total.violation.population","total.violation.population.pct","total.violation.population.change","tech.violations","tech.violation.population.pct","tech.violation.population.change"
"1","2018",1220807.95454545,NA,NA,295533.333333333,NA,NA,130961.850649351,NA,NA
"2","2019",1192643.02325581,-0.0230707304820334,-28164.9312896407,284408.536585366,-0.037643120058541,-11124.7967479675,115708.796296296,-0.11646944722776,-15253.0543530544
"3","2020",1031931.11111111,-0.134752737416744,-160711.912144703,226259.756097561,-0.20445511652338,-58148.7804878048,86074.2424242424,-0.256113232706773,-29634.5538720539
