"","States","year","Total.admissions","Total.violation.admissions","Technical.violations.admissions","Total.admissions.pct","Total.violation.admissions.pct","Technical.violations.admissions.pct","Total.population","Total.violation.population","Technical.violations.population","Total.population.pct","Total.violation.population.pct","Technical.violations.population.pct"
"42","Iowa","2018",6227,3083,768,NA,NA,NA,8363,2675,1166,NA,NA,NA
"43","Iowa","2019",6287,3135,852,0.963545848723313,1.68666882906261,10.9375,8431,2682,1192,0.813105344971898,0.261682242990657,2.22984562607205
"44","Iowa","2020",3931,2105,427,-37.4741530141562,-32.8548644338118,-49.8826291079812,7528,2307,793,-10.7104732534693,-13.9821029082774,-33.4731543624161
"45","Kansas","2018",6542,4434,3737,NA,NA,NA,9973,3077,NA,NA,NA,NA
"46","Kansas","2019",6388,4314,3690,-2.35402017731581,-2.7063599458728,-1.25769333690126,10044,3085,NA,0.711922189912761,0.259993500162503,NA
"47","Kansas","2020",4473,2831,2302,-29.9780839073262,-34.3764487714418,-37.6151761517615,8869,2590,1236,-11.6985264834727,-16.0453808752026,NA
"48","Kentucky","2018",20365,11846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Kentucky","2019",19693,11665,NA,-3.29977903265406,-1.52794192132365,NA,NA,NA,NA,NA,NA,NA
"50","Kentucky","2020",12568,7712,NA,-36.1803686589143,-33.8876982426061,NA,NA,NA,NA,NA,NA,NA
"51","Louisiana","2018",16005,7953,3252,NA,NA,NA,32488,9744,3405,NA,NA,NA
"52","Louisiana","2019",16226,8146,3447,1.38081849422056,2.42675719854144,5.99630996309963,31519,9426,3224,-2.98263974390545,-3.26354679802956,-5.31571218795889
"53","Louisiana","2020",9640,4954,1923,-40.5891778626895,-39.184876012767,-44.2123585726719,27010,7754,2626,-14.3056569053587,-17.7381710163378,-18.5483870967742
"54","Maine","2018",1300,548,NA,NA,NA,NA,2473,NA,NA,NA,NA,NA
"55","Maine","2019",1102,452,NA,-15.2307692307692,-17.5182481751825,NA,2265,NA,NA,-8.41083704003235,NA,NA
"56","Maine","2020",635,288,NA,-42.3774954627949,-36.283185840708,NA,1715,NA,NA,-24.2825607064018,NA,NA
"57","Maryland","2018",7761,2169,1874,NA,NA,NA,19453,1684,NA,NA,NA,NA
"58","Maryland","2019",7392,1973,1650,-4.75454194047159,-9.03642231443061,-11.9530416221985,19014,1563,NA,-2.25672132832982,-7.18527315914489,NA
"59","Maryland","2020",5057,1347,1157,-31.5882034632035,-31.728332488596,-29.8787878787879,18607,1530,NA,-2.14052803197644,-2.11132437619962,NA
"60","Massachusetts","2018",2329,240,NA,NA,NA,NA,8279,226,NA,NA,NA,NA
"61","Massachusetts","2019",2201,265,NA,-5.49592099613568,10.4166666666667,NA,7978,222,NA,-3.63570479526513,-1.76991150442478,NA
"62","Michigan","2018",9188,4658,NA,NA,NA,NA,38827,1454,NA,NA,NA,NA
"63","Michigan","2019",8686,4344,NA,-5.46364823683065,-6.74109059682267,NA,38370,1547,NA,-1.17701599402478,6.39614855570838,NA
"64","Minnesota","2018",7767,4938,NA,NA,NA,NA,9821,3033,2499,NA,NA,NA
"65","Minnesota","2019",7123,4470,NA,-8.29148963563796,-9.4775212636695,NA,9577,2911,2308,-2.48447204968945,-4.02242004615891,-7.64305722288916
"66","Mississippi","2018",8626,3869,2914,NA,NA,NA,19276,5705,3099,NA,NA,NA
"67","Mississippi","2019",8028,3740,2866,-6.93252956178994,-3.33419488239856,-1.64722031571722,19426,5786,3334,0.778169744760326,1.41980718667836,7.58309131978057
"68","Mississippi","2020",6246,3025,2558,-22.1973094170404,-19.1176470588235,-10.7466852756455,17586,5127,3077,-9.47184186142284,-11.3895610093329,-7.70845830833833
"69","Missouri","2018",18032,13987,10111,NA,NA,NA,31721,17292,7603,NA,NA,NA
"70","Missouri","2019",15025,11507,8376,-16.6759094942325,-17.7307499821263,-17.1595292255959,28174,14344,5733,-11.1818669020523,-17.0483460559796,-24.5955543864264
"71","Missouri","2020",12293,10610,7590,-18.1830282861897,-7.79525506213609,-9.38395415472779,23062,11904,4957,-18.1443884432455,-17.010596765198,-13.5356706785278
"72","Montana","2018",1313,490,398,NA,NA,NA,2711,730,518,NA,NA,NA
"73","Montana","2019",1439,604,493,9.5963442498096,23.265306122449,23.8693467336683,2784,794,581,2.69273330874216,8.76712328767124,12.1621621621622
"74","Montana","2020",1092,483,376,-24.1139680333565,-20.0331125827815,-23.7322515212982,2401,706,510,-13.757183908046,-11.0831234256927,-12.2203098106713
"75","Nebraska","2018",2724,634,NA,NA,NA,NA,5302,591,NA,NA,NA,NA
"76","Nebraska","2019",2850,671,NA,4.62555066079295,5.83596214511042,NA,5487,717,NA,3.48924933987174,21.3197969543147,NA
"77","Nevada","2018",6522,2580,2500,NA,NA,NA,13740,2996,2653,NA,NA,NA
"78","Nevada","2019",5971,2515,2447,-8.44832873351733,-2.51937984496124,-2.12,12922,2680,2399,-5.95342066957788,-10.5473965287049,-9.57406709385601
"79","Nevada","2020",4372,2100,1983,-26.7794339306649,-16.5009940357853,-18.9619942787086,11422,2333,2020,-11.6081101996595,-12.9477611940298,-15.7982492705294
"80","New Hampshire","2018",1428,851,851,NA,NA,NA,2578,75,75,NA,NA,NA
"81","New Hampshire","2019",1319,858,858,-7.63305322128851,0.822561692126911,0.822561692126911,2515,72,72,-2.44375484871994,-4,-4
"82","New Hampshire","2020",907,612,612,-31.2357846853677,-28.6713286713287,-28.6713286713287,2155,43,43,-14.3141153081511,-40.2777777777778,-40.2777777777778
"83","New Jersey","2018",8050,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","New Jersey","2019",7469,647,NA,-7.21739130434783,-5.27086383601757,NA,NA,NA,NA,NA,NA,NA
"85","New Jersey","2020",3972,405,NA,-46.8201901191592,-37.403400309119,NA,NA,NA,NA,NA,NA,NA
"86","New Mexico","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","New Mexico","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","New York","2018",23104,11365,NA,NA,NA,NA,49312,11034,NA,NA,NA,NA
"89","New York","2019",21533,11038,NA,-6.79968836565097,-2.87725472943247,NA,46331,10548,NA,-6.04518170019468,-4.40456769983687,NA
"90","North Carolina","2018",25209,14964,2475,NA,NA,NA,37104,10517,552,NA,NA,NA
"91","North Carolina","2019",24222,14314,2381,-3.91526835653934,-4.34375835338144,-3.7979797979798,34394,10094,454,-7.30379473911169,-4.02205952267757,-17.7536231884058
"92","North Carolina","2020",16995,10407,1464,-29.8365122615804,-27.2949559871455,-38.5132297354053,23969,6974,203,-30.310519276618,-30.9094511591044,-55.2863436123348
"93","North Dakota","2018",1527,763,613,NA,NA,NA,1695,593,NA,NA,NA,NA
"94","North Dakota","2019",1530,703,631,0.196463654223966,-7.86369593709043,2.93637846655792,1794,597,NA,5.84070796460177,0.674536256323788,NA
"95","North Dakota","2020",936,389,261,-38.8235294117647,-44.6657183499289,-58.6370839936609,1401,397,NA,-21.9063545150502,-33.500837520938,NA
"96","Ohio","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Ohio","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Oklahoma","2018",10777,2151,NA,NA,NA,NA,27180,2856,NA,NA,NA,NA
"99","Oklahoma","2019",9384,1383,NA,-12.9256750487149,-35.7043235704324,NA,26102,2376,NA,-3.96615158204562,-16.8067226890756,NA
"100","Oklahoma","2020",6098,1100,NA,-35.0170502983802,-20.4627621113521,NA,21737,1993,NA,-16.722856486093,-16.1195286195286,NA
"101","Oregon","2018",9587,4466,2945,NA,NA,NA,15478,1692,952,NA,NA,NA
"102","Oregon","2019",9057,4033,2687,-5.5283195994576,-9.69547693685625,-8.76061120543293,15286,1624,902,-1.24047034500582,-4.01891252955082,-5.25210084033614
"103","Oregon","2020",6006,2333,1496,-33.6866512090096,-42.1522439871064,-44.324525493115,13102,1389,616,-14.2875834096559,-14.4704433497537,-31.7073170731707
"104","Pennsylvania","2018",19793,8579,NA,NA,NA,NA,48353,7525,NA,NA,NA,NA
"105","Pennsylvania","2019",18166,8245,NA,-8.2200778052847,-3.89322764891012,NA,45975,7226,NA,-4.91799888321304,-3.9734219269103,NA
"106","Pennsylvania","2020",10224,5070,NA,-43.719035560938,-38.5081867798666,NA,39493,5739,NA,-14.0989668297988,-20.5784666482148,NA
"107","Rhode Island","2018",3270,1476,378,NA,NA,NA,2108,653,123,NA,NA,NA
"108","Rhode Island","2019",3054,1172,260,-6.60550458715596,-20.5962059620596,-31.2169312169312,1957,623,105,-7.16318785578748,-4.59418070444104,-14.6341463414634
"109","Rhode Island","2020",1826,384,94,-40.2095612311722,-67.2354948805461,-63.8461538461538,1491,350,55,-23.8119570771589,-43.8202247191011,-47.6190476190476
"110","South Carolina","2018",7250,1356,NA,NA,NA,NA,18958,3129,NA,NA,NA,NA
"111","South Carolina","2019",7386,1234,NA,1.87586206896553,-8.99705014749262,NA,18848,3051,NA,-0.580229982065616,-2.4928092042186,NA
"112","South Carolina","2020",4156,852,NA,-43.7313836988898,-30.9562398703404,NA,15726,2417,NA,-16.5640916808149,-20.7800721075057,NA
"113","South Dakota","2018",4284,3057,2697,NA,NA,NA,4026,1871,1342,NA,NA,NA
"114","South Dakota","2019",4465,3343,2976,4.22502334267041,9.3555773634282,10.3448275862069,3858,1849,1340,-4.17287630402384,-1.17584179583111,-0.149031296572277
"115","South Dakota","2020",3323,2380,2227,-25.5767077267637,-28.8064612623392,-25.1680107526882,3249,1410,1090,-15.7853810264386,-23.7425635478637,-18.6567164179104
"116","Tennessee","2018",11369,4398,NA,NA,NA,NA,22339,4835,4835,NA,NA,NA
"117","Tennessee","2019",11573,4430,NA,1.79435306535316,0.727603456116421,NA,NA,NA,NA,NA,NA,NA
