"","States","pct_18_19","States","pct_19_20"
"1","Delaware",-17.3584905660377,"Alabama",-99.6402877697842
"2","Missouri",-17.0483460559796,"Rhode Island",-43.8202247191011
"3","Oklahoma",-16.8067226890756,"New Hampshire",-40.2777777777778
"4","Florida",-16.0103877279865,"North Dakota",-33.500837520938
"5","Nevada",-10.5473965287049,"North Carolina",-30.9094511591044
